,korObs,korInst,sphereLarge,inOperation,methodObs,codeObs,codeWatershed,korStream_x,1차,2차,3차,4차,5차,6차,7차,8차,dateNotice,aFLAdvisory(m),aFLAdvisory(El.m),aFLAlert(m),aFLAlert(El.m),designFloodLevel(m),designFloodLevel(El.m),designFloodCharge(m3/sec),(El.m),heightEmbarkmentLeft(m),heightEmbarkmentLeft(El.m),heightEmbarkmentRight(m),heightEmbarkmentRight(El.m),widthRiver(m)
15,강천보(상류),기후에너지환경부,한강,운영,T/M,1007633.0,100706,강천보,329.0,87.0,19.0,5.0,-,1.0,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,강천보(하류),기후에너지환경부,한강,운영,T/M,1007634.0,100708,여주수위표,238.0,71.0,15.0,4.0,1.0,1.0,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,괴산군(목도교),기후에너지환경부,한강,운영,T/M,1004693.0,100409,괴산댐,270.0,67.0,12.0,3.0,1.0,1.0,1.0,-,19.04.18,6.2,92.99,7.1,93.89,8.5,95.29,"4,455",86.79,12.87,99.66,12.75,99.54,-
31,괴산군(비도교),기후에너지환경부,한강,운영,T/M,1004646.0,100407,쌍천,311.0,72.0,15.0,5.0,1.0,-,-,-,24.04.23,3,121.18,3.5,121.68,3.74,121.92,900,118.18,5.9,124.08,5.88,124.06,-
32,괴산군(수전교),기후에너지환경부,한강,운영,T/M,1004645.0,100409,괴산댐,270.0,67.0,12.0,3.0,1.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,괴산군(월문교),기후에너지환경부,한강,운영,T/M,1004631.0,100404,압항천,658.0,176.0,43.0,8.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,괴산군(적석교),기후에너지환경부,한강,운영,T/M,1004640.0,100407,쌍천,311.0,72.0,15.0,5.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,괴산군(제2괴산교),기후에너지환경부,한강,운영,T/M,1004661.0,100408,동진천,439.0,99.0,21.0,5.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,괴산군(추산교),기후에너지환경부,한강,운영,T/M,1004670.0,100410,음성천,359.0,106.0,28.0,7.0,1.0,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,단양군(가대교),기후에너지환경부,한강,운영,T/M,1003636.0,100307,하일천,373.0,84.0,15.0,4.0,1.0,-,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,단양군(단양1교),기후에너지환경부,한강,운영,T/M,1003645.0,100309,죽령천,327.0,76.0,13.0,3.0,1.0,-,-,-,24.04.23,4,144.9,5,145.9,5.74,146.64,"1,270",140.9,6.83,147.73,6.43,147.33,-
50,단양군(덕천교),기후에너지환경부,한강,운영,T/M,1003642.0,100310,단양천,171.0,45.0,12.0,2.0,3.0,-,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
