station_id,station_name,stream_code,upstream_1,upstream_1_name,upstream_2,upstream_2_name,fit_start,fit_end,freq,method,lag_steps_upstream_1,reliable_upstream_1,max_corr_upstream_1,n_effective_upstream_1,fallback_reason_upstream_1,ccf_input_branch_upstream_1,missing_rate_joint_upstream_1,max_interp_run_upstream_1,lag_steps_upstream_2,reliable_upstream_2,max_corr_upstream_2,n_effective_upstream_2,fallback_reason_upstream_2,ccf_input_branch_upstream_2,missing_rate_joint_upstream_2,max_interp_run_upstream_2
1001602,평창군(송정교),1001,,,,,2023-03-01,2024-08-31,1H,ccf_demean_full_v1,,,,,no_upstream_mapping,,,,,,,,no_upstream_mapping,,,
1001603,태백시(무사교),1001,,,,,2023-03-01,2024-08-31,1H,ccf_demean_full_v1,,,,,no_upstream_mapping,,,,,,,,no_upstream_mapping,,,
1001605,송천1교,1001,1001603,태백시(무사교),1001602,평창군(송정교),2023-03-01,2024-08-31,1H,ccf_demean_full_v1,0.0,False,,0.0,missing_series_train_window,raw,,0.0,0.0,False,,0.0,missing_series_train_window,raw,,0.0
1001607,삼척시(번천교),1001,1001605,송천1교,1001603,태백시(무사교),2023-03-01,2024-08-31,1H,ccf_demean_full_v1,0.0,False,,0.0,missing_series_train_window,raw,,0.0,0.0,False,,0.0,missing_series_train_window,raw,,0.0
1001613,삼척시(광동교),1001,1001607,삼척시(번천교),1001605,송천1교,2023-03-01,2024-08-31,1H,ccf_demean_full_v1,0.0,False,,0.0,missing_series_train_window,raw,,0.0,0.0,False,,0.0,missing_series_train_window,raw,,0.0
1001615,삼척시(갈밭교),1001,1001613,삼척시(광동교),1001607,삼척시(번천교),2023-03-01,2024-08-31,1H,ccf_demean_full_v1,0.0,False,,0.0,missing_series_train_window,raw,,0.0,0.0,False,,0.0,missing_series_train_window,raw,,0.0
1001620,정선군(송계교),1001,1001615,삼척시(갈밭교),1001613,삼척시(광동교),2023-03-01,2024-08-31,1H,ccf_demean_full_v1,0.0,False,,0.0,missing_series_train_window,raw,,0.0,0.0,False,,0.0,missing_series_train_window,raw,,0.0
1001622,정선군(혈천교),1001,1001620,정선군(송계교),1001615,삼척시(갈밭교),2023-03-01,2024-08-31,1H,ccf_demean_full_v1,7.0,True,792.2249853344077,12971.0,,interpolated,0.019166666666666665,24.0,0.0,False,,0.0,missing_series_train_window,raw,,0.0
1001623,정선군(오장2교),1001,1001622,정선군(혈천교),1001620,정선군(송계교),2023-03-01,2024-08-31,1H,ccf_demean_full_v1,0.0,False,,0.0,missing_series_train_window,raw,,0.0,0.0,False,,0.0,missing_series_train_window,raw,,0.0
1001625,정선군(송천교),1001,1001623,정선군(오장2교),1001622,정선군(혈천교),2023-03-01,2024-08-31,1H,ccf_demean_full_v1,0.0,False,,0.0,missing_series_train_window,raw,,0.0,0.0,True,746.8281722050932,12148.0,,interpolated,0.08333333333333337,24.0
1001626,정선군(제1여량교),1001,1001625,정선군(송천교),1001623,정선군(오장2교),2023-03-01,2024-08-31,1H,ccf_demean_full_v1,1.0,True,652.8027460667407,11923.0,,interpolated,0.09856060606060602,24.0,0.0,False,,0.0,missing_series_train_window,raw,,0.0
1001629,정선군(남평대교),1001,1001626,정선군(제1여량교),1001625,정선군(송천교),2023-03-01,2024-08-31,1H,ccf_demean_full_v1,3.0,True,1078.1598761245712,11923.0,,interpolated,0.09856060606060602,24.0,4.0,True,836.4779948091556,12349.0,,interpolated,0.06628787878787878,24.0
1001630,정선군(나전교),1001,1001629,정선군(남평대교),1001626,정선군(제1여량교),2023-03-01,2024-08-31,1H,ccf_demean_full_v1,0.0,True,942.6648780887323,12024.0,,interpolated,0.09272727272727277,24.0,0.0,True,716.7365208121726,11784.0,,interpolated,0.10909090909090913,24.0
1001641,정선군(각희교),1001,1001630,정선군(나전교),1001629,정선군(남평대교),2023-03-01,2024-08-31,1H,ccf_demean_full_v1,0.0,False,,0.0,missing_series_train_window,raw,,0.0,0.0,False,,0.0,missing_series_train_window,raw,,0.0
1001645,정선군(와평교),1001,1001641,정선군(각희교),1001630,정선군(나전교),2023-03-01,2024-08-31,1H,ccf_demean_full_v1,0.0,False,,0.0,missing_series_train_window,raw,,0.0,2.0,True,659.5571462387654,12024.0,,interpolated,0.09272727272727277,24.0
1001649,정선군(애산교),1001,1001645,정선군(와평교),1001641,정선군(각희교),2023-03-01,2024-08-31,1H,ccf_demean_full_v1,0.0,True,618.9749230565201,12644.0,,interpolated,0.045757575757575775,24.0,0.0,False,,0.0,missing_series_train_window,raw,,0.0
1001650,정선군(삼거리교),1001,1001649,정선군(애산교),1001645,정선군(와평교),2023-03-01,2024-08-31,1H,ccf_demean_full_v1,0.0,False,,0.0,missing_series_train_window,raw,,0.0,0.0,False,,0.0,missing_series_train_window,raw,,0.0
1001655,정선군(정선제1교),1001,1001650,정선군(삼거리교),1001649,정선군(애산교),2023-03-01,2024-08-31,1H,ccf_demean_full_v1,0.0,False,,0.0,missing_series_train_window,raw,,0.0,0.0,True,1067.239697478964,12642.0,,interpolated,0.0459090909090909,24.0
1001658,정선군(광하교),1001,1001655,정선군(정선제1교),1001650,정선군(삼거리교),2023-03-01,2024-08-31,1H,ccf_demean_full_v1,1.0,True,2761.573715196645,13093.0,,interpolated,0.011742424242424221,24.0,0.0,False,,0.0,missing_series_train_window,raw,,0.0
1001660,정선군(낙동교),1001,1001658,정선군(광하교),1001655,정선군(정선제1교),2023-03-01,2024-08-31,1H,ccf_demean_full_v1,0.0,True,1574.2764544381316,12695.0,,interpolated,0.04189393939393937,24.0,0.0,True,1206.1891565288158,12720.0,,interpolated,0.038181818181818206,24.0
1001661,정선군(광탄교),1001,1001660,정선군(낙동교),1001658,정선군(광하교),2023-03-01,2024-08-31,1H,ccf_demean_full_v1,0.0,False,,0.0,missing_series_train_window,raw,,0.0,0.0,False,,0.0,missing_series_train_window,raw,,0.0
1001665,평창군(마하교),1001,1001661,정선군(광탄교),1001660,정선군(낙동교),2023-03-01,2024-08-31,1H,ccf_demean_full_v1,0.0,False,,0.0,missing_series_train_window,raw,,0.0,0.0,False,,0.0,missing_series_train_window,raw,,0.0
1001670,영월군(거운교),1001,1001665,평창군(마하교),1001661,정선군(광탄교),2023-03-01,2024-08-31,1H,ccf_demean_full_v1,0.0,False,,0.0,missing_series_train_window,raw,,0.0,0.0,False,,0.0,missing_series_train_window,raw,,0.0
1001683,영월군(삼옥교),1001,1001670,영월군(거운교),1001665,평창군(마하교),2023-03-01,2024-08-31,1H,ccf_demean_full_v1,0.0,False,,0.0,missing_series_train_window,raw,,0.0,0.0,False,,0.0,missing_series_train_window,raw,,0.0
